Price,Address,Beds,Baths,Property_Type_1.0,Property_Type_2.0,Property_Type_3.0,Property_Type_4.0,Property_Type_5.0,Property_Type_6.0
550000,518500,3,1,1.0,0.0,0.0,0.0,0.0,0.0
425000,320000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
380000,632000,1,1,0.0,0.0,0.0,1.0,0.0,0.0
225000,275000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
295000,433000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
350000,343000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
245000,352750,2,1,0.0,1.0,0.0,0.0,0.0,0.0
235000,355000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
300000,365000,2,2,1.0,0.0,0.0,0.0,0.0,0.0
3000000,632000,5,4,0.0,0.0,0.0,1.0,0.0,0.0
350000,343000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
400000,347500,3,2,0.0,0.0,0.0,1.0,0.0,0.0
318000,265000,3,1,0.0,0.0,0.0,0.0,1.0,0.0
375000,410000,3,2,0.0,1.0,0.0,0.0,0.0,0.0
495000,433000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
300000,518500,2,2,0.0,1.0,0.0,0.0,0.0,0.0
3800000,518500,24,16,0.0,1.0,0.0,0.0,0.0,0.0
1100000,595000,5,5,0.0,0.0,0.0,0.0,0.0,1.0
395000,410000,3,2,0.0,0.0,0.0,0.0,1.0,0.0
275000,365000,2,1,0.0,0.0,1.0,0.0,0.0,0.0
365000,304000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
295000,365000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
295000,632000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
1475000,605000,6,6,0.0,0.0,0.0,1.0,0.0,0.0
545000,510000,3,1,1.0,0.0,0.0,0.0,0.0,0.0
525000,400000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
239000,355000,2,2,0.0,0.0,0.0,1.0,0.0,0.0
1200000,343000,6,6,0.0,0.0,0.0,0.0,0.0,1.0
660000,595000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
300000,355000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
975000,518500,3,3,0.0,0.0,1.0,0.0,0.0,0.0
875000,595000,4,3,0.0,0.0,0.0,0.0,1.0,0.0
350000,632000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
875000,355000,4,3,0.0,0.0,0.0,0.0,0.0,1.0
255000,400000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
475000,347500,2,3,1.0,0.0,0.0,0.0,0.0,0.0
335000,343000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
475000,518500,3,1,1.0,0.0,0.0,0.0,0.0,0.0
525000,347500,3,2,0.0,0.0,0.0,0.0,1.0,0.0
215000,275000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
525000,433000,3,1,1.0,0.0,0.0,0.0,0.0,0.0
295000,355000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
450000,560000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
450000,343000,4,1,0.0,0.0,0.0,1.0,0.0,0.0
875000,560000,4,3,1.0,0.0,0.0,0.0,0.0,0.0
365000,400000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
400000,347500,3,2,1.0,0.0,0.0,0.0,0.0,0.0
295000,347500,2,2,0.0,0.0,0.0,1.0,0.0,0.0
1250000,632000,3,4,0.0,1.0,0.0,0.0,0.0,0.0
700000,518500,4,2,0.0,0.0,0.0,0.0,0.0,1.0
680000,595000,2,1,0.0,0.0,0.0,0.0,0.0,1.0
975000,632000,4,3,0.0,0.0,0.0,0.0,1.0,0.0
320000,518500,2,2,0.0,1.0,0.0,0.0,0.0,0.0
545000,518500,2,1,1.0,0.0,0.0,0.0,0.0,0.0
3000000,632000,4,4,1.0,0.0,0.0,0.0,0.0,0.0
375000,343000,2,1,0.0,0.0,0.0,1.0,0.0,0.0
199950,315000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
425000,605000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
299950,347500,3,1,0.0,0.0,0.0,1.0,0.0,0.0
600000,365000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
745000,518500,4,1,1.0,0.0,0.0,0.0,0.0,0.0
425000,410000,3,2,0.0,0.0,0.0,0.0,1.0,0.0
325000,320000,1,2,0.0,1.0,0.0,0.0,0.0,0.0
1250000,632000,3,3,0.0,0.0,0.0,0.0,1.0,0.0
