Price,Address,Beds,Baths,Footage,Type
525000,9,3,1,98,1
1450000,6,5,3,246,4
1450000,6,5,2,265,4
375000,5,3,1,105,4
295000,11,2,1,93,5
180000,1,1,1,32,4
350000,2,2,1,62,2
325000,8,2,1,73,5
315000,4,1,1,49,2
1250000,4,3,3,154,5
315000,1,1,1,54,2
275000,8,3,2,117,5
320000,18,2,1,69,2
450000,15,3,3,130,5
495000,12,3,2,118,5
975000,4,4,3,188,5
370000,24,3,3,93,4
375000,13,2,1,64,4
975000,14,2,1,80,6
680000,14,2,1,80,6
1675000,4,6,3,290,4
1245000,4,3,3,166,4
199000,22,2,2,58,2
595000,6,2,2,90,2
430000,3,3,1,83,4
549000,7,4,2,127,4
239000,11,3,2,95,4
395000,14,3,1,76,4
260000,11,2,2,73,2
425000,20,4,1,151,5
520000,16,4,3,122,4
675000,3,3,2,131,4
550000,16,4,3,112,1
445000,8,3,2,90,1
330000,7,4,2,90,5
325000,18,2,2,70,2
350000,5,2,2,62,2
325000,16,1,1,59,2
375000,2,1,1,57,2
695000,2,3,2,103,2
165000,11,1,1,45,2
1195000,7,9,8,315,4
259000,13,2,2,69,2
795000,6,3,3,142,4
395000,3,2,1,52,3
635000,5,3,2,142,1
425000,9,3,2,82,1
285000,1,2,1,69,2
225000,8,2,1,71,4
199000,8,2,1,55,4
295000,18,2,2,63,2
315000,8,2,1,60,2
375000,14,1,1,60,4
395000,7,2,2,59,4
550000,6,2,1,85,1
375000,5,3,3,97,4
239000,7,1,1,42,2
395000,14,2,1,62,4
435000,15,3,3,162,4
270000,22,2,1,59,4
215000,7,1,1,41,2
275000,3,1,1,47,2
325000,11,3,2,100,1
547500,4,2,2,90,2
290000,22,3,2,105,2
1200000,14,5,2,257,6
795000,14,3,1,120,3
735000,8,3,3,142,4
450000,20,3,2,94,1
475000,1,4,3,110,4
995000,18,5,4,267,6
495000,8,2,3,118,4
259000,22,3,1,79,1
295000,4,2,1,43,2
485000,14,2,2,94,2
295000,24,3,2,85,6
315000,24,4,3,115,4
495000,25,2,1,47,4
525000,1,2,2,102,2
399000,16,3,3,126,2
290000,8,1,1,66,2
300000,18,2,2,74,2
875000,3,5,3,142,1
800000,11,5,5,220,5
575000,18,3,3,140,1
285000,13,3,2,111,1
360000,8,1,1,51,4
400000,12,3,2,116,4
1100000,4,3,3,196,1
295000,18,2,2,91,2
865000,4,3,1,144,1
545000,16,3,1,102,1
495000,13,3,1,88,5
225000,1,1,1,35,2
595000,16,4,3,124,1
995000,4,3,1,122,1
375000,6,2,1,56,2
320000,3,2,2,70,2
1100000,6,4,4,186,1
1250000,14,5,3,233,6
219000,11,2,2,68,2
245000,7,1,1,47,2
325000,7,2,2,69,2
275000,12,2,1,62,1
245000,7,1,1,47,2
475000,5,3,1,83,4
265000,3,1,1,46,2
499950,25,3,1,109,1
750000,6,3,4,120,4
575000,16,4,2,108,6
525000,11,3,3,108,6
550000,8,3,3,74,5
295000,3,2,2,53,4
325000,8,2,2,55,2
259950,16,1,1,48,2
725000,18,4,3,121,1
395000,14,2,1,58,5
225000,1,1,1,38,2
1725000,1,10,7,535,2
385000,12,3,1,79,1
995000,1,7,4,170,5
495000,5,4,2,149,1
750000,15,4,3,132,6
