Price,Address,Beds,Baths,Footage,Type
"€389,000","Saint Annes, Monastery Road, Clondalkin, Dublin 22",3 Bed,1 Bath,104 m²,Bungalow
"€460,000","Apartment 21, The Anchorage, The Crescent, Malahide, Co. Dublin",2 Bed,2 Bath,76 m²,Apartment
"€495,000","8 Vernon Court, Clontarf, Dublin 3",2 Bed,1 Bath,74 m²,End of Terrace
"€525,000","6 Muckross Crescent, Perrystown, Perrystown, Dublin 12",3 Bed,2 Bath,130 m²,End of Terrace
"€575,000","53 Woodside, Dodder Park Road, Rathfarnham, Dublin 14",3 Bed,3 Bath,101 m²,Terrace
"€495,000","67 Grove Park Drive, Glasnevin, Glasnevin, Dublin 11",3 Bed,1 Bath,112 m²,Semi-D
"€320,000","38 Corbally Rise, Citywest, Co. Dublin",3 Bed,2 Bath,N/A,Semi-D
"€645,000","43 The Holly, Rockfield, Dundrum, Dublin 16",3 Bed,3 Bath,129 m²,Apartment
"€515,000","8 Swiftwood, Saggart, Co. Dublin",4 Bed,4 Bath,250 m²,Townhouse
"€1,300,000","71 Belmont Avenue, Donnybrook, Dublin 4",5 Bed,3 Bath,180 m²,Semi-D
"€324,950","16 Great Western Villas, Phibsborough, Phibsborough, Dublin 7",2 Bed,1 Bath,N/A,Terrace
"€390,000","3 Geraldine Terrace, Milltown Road, Milltown, Dublin 6",2 Bed,1 Bath,65 m²,Semi-D
"€325,000","28 Sweetman House, Myrtle Drive, The Coast, Baldoyle, Dublin 13",3 Bed,2 Bath,104 m²,Duplex
"€300,000","153 Windmill Park, Crumlin, Dublin 12",2 Bed,2 Bath,N/A,Terrace
"€190,000","Apartment 62, The Academy, Park West, Dublin 12",2 Bed,2 Bath,62 m²,Apartment
"€215,000","61 Broadfield Hall, Tallaght Cross, Tallaght, Dublin 24",2 Bed,1 Bath,N/A,Apartment
"€575,000","13 Diswellstown Heath, Castleknock, Dublin 15",3 Bed,3 Bath,113 m²,Semi-D
"€590,000","70 The Paddocks, Navan Road (D7), Dublin 7",3 Bed,3 Bath,N/A,Semi-D
"€279,000","Apartment 186, Skellig Michael, Custom House Harbour Apartments, IFSC, Dublin 1",1 Bed,1 Bath,40 m²,Apartment
"€250,000","48 Eugene Street, Dublin 8",1 Bed,1 Bath,42 m²,Terrace
"€259,000","32 Belmayne Park North, Balgriffin, Balgriffin, Dublin 13",2 Bed,1 Bath,69 m²,Apartment
"€470,000","1 Loftus Lane, Belmont, Sandyford, Dublin 18",2 Bed,3 Bath,85 m²,Semi-D
"€800,000","58 Fosterbrook, Stillorgan Road, Booterstown, Co. Dublin",4 Bed,3 Bath,161 m²,Semi-D
"€200,000","15a Kenilworth Park, Harold's Cross, Dublin 6",N/A,N/A,N/A,Apartment
"€750,000","72 Lower Dodder Road Rathfarnham Dublin 14, Rathfarnham, Dublin 14",3 Bed,2 Bath,118 m²,Semi-D
"€420,000","62 Adair Sandymount Avenue Dublin 4, Sandymount, Dublin 4",2 Bed,N/A,N/A,Apartment
"€520,000","13 Alder Lodge, Farmleigh Woods, Castleknock, Dublin 15",2 Bed,2 Bath,94 m²,Apartment
"€275,000","Apartment 28, Rathmines Town Centre, Rathmines, Dublin 6",1 Bed,1 Bath,36 m²,Apartment
"€430,000","25 Ridgewood Close, Swords, Co. Dublin",4 Bed,3 Bath,107 m²,End of Terrace
